case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,164,18,2952,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,156,21,3276,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_dadda_hcla4_abc_g_aig,1,361,34,12274,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig,1,358,33,11814,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_hcla4_synth_preset_d13,1,358,33,11814,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_dadda_pfx6_abc_g_aig,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_dadda_pfx6_synth_preset_d13,1,357,36,12852,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex263/aigs/ex263_smul_baugh_wooley_dadda_pfx6_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_dadda_pfx6; flow=synth_preset_d13
