case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_dadda_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_hcla4_abc_g_aig.aig,1,1,1,98,16,1568,657,2.386606,0,0,0.219,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_hcla4_wreduce_abc_g_aig.aig,1,1,1,98,16,1568,657,2.386606,0,0,0.241,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_dadda_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_hcla4_synth_preset_d13.aig,1,1,1,98,16,1568,657,2.386606,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_dadda_pfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_pfx6_abc_g_aig.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_pfx6_wreduce_abc_g_aig.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_pfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_dadda_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda_pfx6.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_pfx6_synth_preset_d13.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda_pfx6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_dadda_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_abc_g_aig.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_dadda+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_dadda_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_dadda+synth_preset_d13,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_dadda_synth_preset_d13.aig,1,1,1,93,17,1581,657,2.406393,0,0,0.281,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_dadda_hybrid_20260609_0556/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.230,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
