case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_androws_cla_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.220,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla+wreduce_abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,1,159,18,2862,1911,1.497645,1,0,0.227,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d13,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.303,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla+synth_preset_d18,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,1,1,1,156,20,3120,1911,1.632653,0,0,0.304,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_from3_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla_from3+abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla_from3.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_from3_abc_g_aig.aig,1,1,1,163,19,3097,1911,1.620617,0,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_from3_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_androws_cla_from3+wreduce_abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla_from3.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,1,1,1,159,19,3021,1911,1.580848,0,0,0.228,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_from3_synth_preset_d13,unsigned low5_high5:a*b,csa_androws_cla_from3+synth_preset_d13,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla_from3.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_from3_synth_preset_d13.aig,1,1,1,161,19,3059,1911,1.600733,0,0,0.291,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_from3_synth_preset_d18,unsigned low5_high5:a*b,csa_androws_cla_from3+synth_preset_d18,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_androws_cla_from3.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_androws_cla_from3_synth_preset_d18.aig,1,1,1,161,19,3059,1911,1.600733,0,0,0.292,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla_from3; flow=synth_preset_d18
ex256,ex256_umul_csa_concat_cla_abc_g_aig,unsigned low5_high5:a*b,csa_concat_cla+abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_concat_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_concat_cla_abc_g_aig.aig,1,1,1,160,19,3040,1911,1.590790,0,0,0.222,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_concat_cla; flow=abc_g_aig
ex256,ex256_umul_csa_concat_cla_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_concat_cla+wreduce_abc_g_aig,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_concat_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_concat_cla_wreduce_abc_g_aig.aig,1,1,1,162,19,3078,1911,1.610675,0,0,0.229,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_concat_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_concat_cla_synth_preset_d13,unsigned low5_high5:a*b,csa_concat_cla+synth_preset_d13,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/verilog/ex256_umul_csa_concat_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex256/aigs/ex256_umul_csa_concat_cla_synth_preset_d13.aig,1,1,1,160,20,3200,1911,1.674516,0,0,0.295,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_concat_cla; flow=synth_preset_d13
