case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_high3_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high3_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high3_case_lowsq_abc_g_aig.aig,1,1,1,1179,54,63666,15078,4.222443,0,0,1.023,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high3_case_lowsq; flow=abc_g_aig
ex273,ex273_square_high3_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high3_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high3_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,1175,54,63450,15078,4.208118,0,0,1.059,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high3_case_lowsq; flow=wreduce_abc_g_aig
ex273,ex273_square_high3_case_lowsq_synth_preset,unsigned_square_x_times_x,high3_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high3_case_lowsq_synth_preset.aig,1,1,1,1247,56,69832,15078,4.631383,0,0,1.237,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high3_case_lowsq; flow=synth_preset
ex273,ex273_square_high3_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high3_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high3_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high3_case_lowsq_synth_preset_d20.aig,1,1,1,1247,56,69832,15078,4.631383,0,0,1.221,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high3_case_lowsq; flow=synth_preset_d20
ex273,ex273_square_high4_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high4_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high4_case_lowsq_abc_g_aig.aig,1,1,1,1861,55,102355,15078,6.788367,0,0,1.304,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high4_case_lowsq; flow=abc_g_aig
ex273,ex273_square_high4_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high4_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high4_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,1862,55,102410,15078,6.792015,0,0,1.398,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high4_case_lowsq; flow=wreduce_abc_g_aig
ex273,ex273_square_high4_case_lowsq_synth_preset,unsigned_square_x_times_x,high4_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high4_case_lowsq_synth_preset.aig,1,1,1,1972,60,118320,15078,7.847195,0,0,1.492,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high4_case_lowsq; flow=synth_preset
ex273,ex273_square_high4_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high4_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high4_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high4_case_lowsq_synth_preset_d20.aig,1,1,1,1972,60,118320,15078,7.847195,0,0,1.486,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high4_case_lowsq; flow=synth_preset_d20
ex273,ex273_square_high5_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high5_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high5_case_lowsq_abc_g_aig.aig,1,1,1,3047,55,167585,15078,11.114538,0,0,2.054,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high5_case_lowsq; flow=abc_g_aig
ex273,ex273_square_high5_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high5_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high5_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,3048,54,164592,15078,10.916037,0,0,2.159,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high5_case_lowsq; flow=wreduce_abc_g_aig
ex273,ex273_square_high5_case_lowsq_synth_preset,unsigned_square_x_times_x,high5_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high5_case_lowsq_synth_preset.aig,1,1,1,3273,61,199653,15078,13.241345,0,0,2.193,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high5_case_lowsq; flow=synth_preset
ex273,ex273_square_high5_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high5_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high5_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high5_case_lowsq_synth_preset_d20.aig,1,1,1,3273,61,199653,15078,13.241345,0,0,2.180,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high5_case_lowsq; flow=synth_preset_d20
ex273,ex273_square_high6_case_lowsq_abc_g_aig,unsigned_square_x_times_x,high6_case_lowsq+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high6_case_lowsq_abc_g_aig.aig,1,1,1,5199,53,275547,15078,18.274771,0,0,3.903,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high6_case_lowsq; flow=abc_g_aig
ex273,ex273_square_high6_case_lowsq_wreduce_abc_g_aig,unsigned_square_x_times_x,high6_case_lowsq+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high6_case_lowsq_wreduce_abc_g_aig.aig,1,1,1,5202,53,275706,15078,18.285316,0,0,3.985,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high6_case_lowsq; flow=wreduce_abc_g_aig
ex273,ex273_square_high6_case_lowsq_synth_preset,unsigned_square_x_times_x,high6_case_lowsq+synth_preset,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high6_case_lowsq_synth_preset.aig,1,1,1,5466,56,306096,15078,20.300836,0,0,4.051,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high6_case_lowsq; flow=synth_preset
ex273,ex273_square_high6_case_lowsq_synth_preset_d20,unsigned_square_x_times_x,high6_case_lowsq+synth_preset_d20,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_high6_case_lowsq.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_high6_case_lowsq_synth_preset_d20.aig,1,1,1,5466,56,306096,15078,20.300836,0,0,4.002,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=high6_case_lowsq; flow=synth_preset_d20
ex273,ex273_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_highcofactor_lowsq_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,718,39,28002,15078,1.857143,0,0,0.755,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
