case,candidate_id,verilog_path,aig_path,evaluate_status,area,delay,adp,notes
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck.aig,OK,13035,23,299805,current project Yosys script sanity recheck
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig.aig,OK,13222,21,277662,Yosys abc gate set aig
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share.aig,OK,13068,23,300564,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset.aig,OK,13284,25,332100,Yosys synth preset with flatten
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_default_recheck.aig,OK,20109,25,502725,current project Yosys script sanity recheck
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_abc_g_aig.aig,OK,20106,24,482544,Yosys abc gate set aig
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_extra_opt_share.aig,OK,20080,25,502000,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_synth_preset,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_case_defaultx_synth_preset.aig,OK,19978,27,539406,Yosys synth preset with flatten
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_default_recheck.aig,OK,24076,26,625976,current project Yosys script sanity recheck
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_abc_g_aig.aig,OK,23978,24,575472,Yosys abc gate set aig
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_extra_opt_share.aig,OK,24123,26,627198,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex288,ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex288/verilog/ex288_unknown_bucket_count_classifier_case_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_case_defaultx_synthflow_20260609_1236/ex288/aigs/ex288_unknown_bucket_count_classifier_bucket_count_sel3_case_defaultx_synth_preset.aig,OK,23257,25,581425,Yosys synth preset with flatten
ex286,ex286_unknown_bucket_count_classifier_bucket_count_sel3_perbit_defaultx_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex286/verilog/ex286_unknown_bucket_count_classifier_perbit_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_perbit_defaultx_synthflow_20260609_1236/ex286/aigs/ex286_unknown_bucket_count_classifier_bucket_count_sel3_perbit_defaultx_abc_g_aig.aig,OK,21576,20,431520,Yosys abc gate set aig
ex287,ex287_unknown_bucket_count_classifier_bucket_count_sel4_perbit_defaultx_abc_g_aig,student/work/ex286_ex288_frontend_bucket_count_decompose_20260609_1236/ex287/verilog/ex287_unknown_bucket_count_classifier_perbit_defaultx.v,student/work/ex286_ex288_frontend_bucket_count_decompose_perbit_defaultx_synthflow_20260609_1236/ex287/aigs/ex287_unknown_bucket_count_classifier_bucket_count_sel4_perbit_defaultx_abc_g_aig.aig,OK,35587,22,782914,Yosys abc gate set aig
