case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex281,ex281_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,2336,,,,diagnostic_only,input_width=13; mtbdd_nodes=7289; leaves=1587; scalar_bdd_nodes=511; node_ratio=14.264,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
ex282,ex282_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,2704,,,,diagnostic_only,input_width=14; mtbdd_nodes=14490; leaves=2950; scalar_bdd_nodes=591; node_ratio=24.518,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
ex283,ex283_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,3168,,,,diagnostic_only,input_width=15; mtbdd_nodes=28788; leaves=5103; scalar_bdd_nodes=672; node_ratio=42.839,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
ex284,ex284_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,4240,,,,diagnostic_only,input_width=16; mtbdd_nodes=57156; leaves=9528; scalar_bdd_nodes=758; node_ratio=75.404,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
ex292,ex292_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,84854,,,,diagnostic_only,input_width=14; mtbdd_nodes=12257; leaves=4695; scalar_bdd_nodes=3807; node_ratio=3.220,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
ex294,ex294_mtbdd_interleave_diag,mtbdd_vector_bdd_diagnostic,interleave_vector_leaf,,,1,0,0,,,,133365,,,,diagnostic_only,input_width=16; mtbdd_nodes=42953; leaves=15966; scalar_bdd_nodes=6020; node_ratio=7.135,,MTBDD node count too high versus scalar shared-BDD; no seed emitted
