case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex224,ex224_fp16_log2_cluster_hybrid_low10,fp16_log2,cluster_hybrid_low10,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/verilog/ex224_fp16_log2_cluster_hybrid_low10.v,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/aigs/ex224_fp16_log2_cluster_hybrid_low10.aig,1,1,1,5112,31,158472,64708,2.449033,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5,6,7,8,9; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0",12.666,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5,6,7,8,9; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0"
ex224,ex224_fp16_log2_cluster_hybrid_low4,fp16_log2,cluster_hybrid_low4,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/verilog/ex224_fp16_log2_cluster_hybrid_low4.v,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/aigs/ex224_fp16_log2_cluster_hybrid_low4.aig,1,1,1,5412,25,135300,64708,2.090932,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0",13.168,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0"
ex224,ex224_fp16_log2_cluster_hybrid_low6,fp16_log2,cluster_hybrid_low6,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/verilog/ex224_fp16_log2_cluster_hybrid_low6.v,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/aigs/ex224_fp16_log2_cluster_hybrid_low6.aig,1,1,1,5133,27,138591,64708,2.141791,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0",13.223,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0"
ex224,ex224_fp16_log2_cluster_hybrid_low8,fp16_log2,cluster_hybrid_low8,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/verilog/ex224_fp16_log2_cluster_hybrid_low8.v,student/work/ex224_frontend_fp16_log2_cluster_hybrid_20260607_0032/ex224/aigs/ex224_fp16_log2_cluster_hybrid_low8.aig,1,1,1,5110,29,148190,64708,2.290134,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5,6,7; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0",13.181,"casez_sign+bit11/12 run-cover plus semantic clustered low bits 0,1,2,3,4,5,6,7; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0"
