case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig,1,132,19,2508,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_wreduce_abc_g_aig,1,131,20,2620,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_synth_preset,1,123,18,2214,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,1,143,23,3289,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,1,142,24,3408,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_synth_preset,1,125,18,2250,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex266,ex266_udiv_radix8_shift_subtract_abc_g_aig,1,197,18,3546,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_wreduce_abc_g_aig,1,196,18,3528,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_synth_preset,1,193,16,3088,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,1,219,21,4599,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,1,219,22,4818,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
