case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig.aig,1,1,1,132,19,2508,848,2.957547,0,0,0.304,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,131,20,2620,848,3.089623,0,0,0.332,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_synth_preset.aig,1,1,1,123,18,2214,848,2.610849,0,0,0.380,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,143,23,3289,848,3.878538,0,0,0.330,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,142,24,3408,848,4.018868,0,0,0.348,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,1,1,1,125,18,2250,848,2.653302,0,0,0.374,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex266,ex266_udiv_radix8_shift_subtract_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_abc_g_aig.aig,1,1,1,197,18,3546,848,4.181604,0,0,0.350,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,196,18,3528,848,4.160377,0,0,0.378,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_synth_preset,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_synth_preset.aig,1,1,1,193,16,3088,848,3.641509,0,0,0.419,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract; flow=synth_preset
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,219,21,4599,848,5.423349,0,0,0.383,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/verilog/ex266_udiv_radix8_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex266/aigs/ex266_udiv_radix8_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,219,22,4818,848,5.681604,0,0,0.395,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_gt_guard; flow=wreduce_abc_g_aig
