case,target,family,name,matches,total_rows,exact,key_count,leaves,notes
ex286,pair_count_0,top_pair_key,pref2:pref5,4280,8192,0,25,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref2_mod3:pref5,4277,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3_mod3:pref5,4271,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3:pref5_mod3,4271,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3:pref5,4271,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3:pref6,4248,8192,0,42,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,cnt3_clip2:pref6,4239,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,cnt3:pref6,4239,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3_mod3:pref6,4238,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_0,top_pair_key,pref3:pref7,4236,8192,0,56,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2_mod3:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2:pref3_mod3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,cnt3_clip2:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,cnt3_clip2:pref2,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,cnt3:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,cnt3:pref2,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2:pref5,4631,8192,0,25,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2:pref4,4617,8192,0,20,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_1,top_pair_key,pref2:pref6,4613,8192,0,40,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,pref3:pref7,4614,8192,0,56,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3_clip2:pref7,4611,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3:pref7,4611,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3_clip1:pref7,4602,8192,0,25,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,pref3:pref6,4600,8192,0,42,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,pref4:pref7,4581,8192,0,56,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3_clip2:pref6,4579,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3:pref6,4579,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,cnt3_clip1:pref6,4577,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_2,top_pair_key,pref3_mod3:pref7,4571,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,pref2:pref7,4584,8192,0,50,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,pref6_mod3:pref7,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,pref6:pref7_mod3,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,pref6:pref7,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7_clip2:pref7,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7_clip2:pref6,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7:pref7,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7:pref6,4543,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7_clip2:pref4,4536,8192,0,24,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_3,top_pair_key,cnt7:pref4,4536,8192,0,24,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref2:pref5,4313,8192,0,25,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref2_mod3:pref5,4284,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref4:pref7,4229,8192,0,56,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref4:pref6,4214,8192,0,40,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref2:pref6,4210,8192,0,40,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref2:pref7,4191,8192,0,50,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref4_mod3:pref6,4186,8192,0,30,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,cnt3_clip2:pref5,4183,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,cnt3:pref5,4183,8192,0,21,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_4,top_pair_key,pref4_mod3:pref7,4183,8192,0,36,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2:pref6,4656,8192,0,40,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2_mod3:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2:pref3_mod3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,cnt3_clip2:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,cnt3_clip2:pref2,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,cnt3:pref3,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,cnt3:pref2,4650,8192,0,15,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2:pref5,4647,8192,0,25,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_5,top_pair_key,pref2:pref7,4635,8192,0,50,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip2:cnt4_clip2,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip2:cnt4_clip1,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip2:cnt4,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip1:cnt4_clip2,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip1:cnt4_clip1,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1_clip1:cnt4,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1:cnt4_clip2,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1:cnt4_clip1,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt1:cnt4,5679,8192,0,4,,buckets=8; selectors=raw3:raw10:xor6_7
ex286,pair_count_6,top_pair_key,cnt5_clip2:pref6,5179,8192,0,22,,buckets=8; selectors=raw3:raw10:xor6_7
ex287,pair_count_0,top_pair_key,cnt2_clip2:cnt4,9420,16384,0,15,,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,top_pair_key,cnt2:cnt4,9420,16384,0,15,,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
ex287,pair_count_0,top_pair_key,pref1:pref4,9374,16384,0,40,,buckets=7; selectors=xor6_7:xor8_9:raw13:raw12
