case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bdd_outside_default,unsigned_floor_isqrt,bdd_outside+default,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_default.aig,1,1,1,53,8,424,204,2.078431,0,0,0.213,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=default
ex275,ex275_isqrt_bdd_outside_wreduce_default,unsigned_floor_isqrt,bdd_outside+wreduce_default,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_default.aig,1,1,1,53,8,424,204,2.078431,0,0,0.198,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_default
ex275,ex275_isqrt_bdd_outside_no_internal_abc,unsigned_floor_isqrt,bdd_outside+no_internal_abc,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_no_internal_abc.aig,1,1,1,97,14,1358,204,6.656863,0,0,0.134,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=no_internal_abc
ex275,ex275_isqrt_bdd_outside_wreduce_no_internal_abc,unsigned_floor_isqrt,bdd_outside+wreduce_no_internal_abc,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_no_internal_abc.aig,1,1,1,97,14,1358,204,6.656863,0,0,0.136,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_no_internal_abc
ex275,ex275_isqrt_bdd_outside_abc_g_AND,unsigned_floor_isqrt,bdd_outside+abc_g_AND,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_AND.aig,1,1,1,53,8,424,204,2.078431,0,0,0.192,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_AND
ex275,ex275_isqrt_bdd_outside_abc_g_NAND,unsigned_floor_isqrt,bdd_outside+abc_g_NAND,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_NAND.aig,1,1,1,53,8,424,204,2.078431,0,0,0.192,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_NAND
ex275,ex275_isqrt_bdd_outside_abc_g_NOR,unsigned_floor_isqrt,bdd_outside+abc_g_NOR,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_NOR.aig,1,1,1,64,9,576,204,2.823529,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_NOR
ex275,ex275_isqrt_bdd_outside_abc_g_OR,unsigned_floor_isqrt,bdd_outside+abc_g_OR,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_OR.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_OR
ex275,ex275_isqrt_bdd_outside_abc_g_XOR,unsigned_floor_isqrt,bdd_outside+abc_g_XOR,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_XOR.aig,1,0,0,,,,204,,,,0.826,sqrt_specific_structural_rtl,SynthError: Yosys failed exit=1; see student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/logs/ex275_isqrt_bdd_outside_abc_g_XOR.yosys.log
ex275,ex275_isqrt_bdd_outside_abc_g_MUX,unsigned_floor_isqrt,bdd_outside+abc_g_MUX,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_MUX.aig,1,0,0,,,,204,,,,0.813,sqrt_specific_structural_rtl,SynthError: Yosys failed exit=1; see student/work/ex275_ex276_frontend_isqrt_gateflow_20260609_1618/ex275/logs/ex275_isqrt_bdd_outside_abc_g_MUX.yosys.log
