case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex258,ex258_umul_wallace_bits_cla_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.507,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_cla_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_wreduce_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.532,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_cla_synth_preset_d13,unsigned low7_high7:a*b,wallace_bits_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_synth_preset_d13.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.630,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_cla_synth_preset_d18,unsigned low7_high7:a*b,wallace_bits_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_synth_preset_d18.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.628,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_rev_cla_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_rev_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.556,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_rev_cla_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_rev_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_wreduce_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.535,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_rev_cla_synth_preset_d13,unsigned low7_high7:a*b,wallace_bits_rev_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_synth_preset_d13.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.634,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_rev_cla_synth_preset_d18,unsigned low7_high7:a*b,wallace_bits_rev_cla+synth_preset_d18,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_synth_preset_d18.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.610,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_outside_cla_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_outside_cla+abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.506,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_outside_cla_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits_outside_cla+wreduce_abc_g_aig,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_wreduce_abc_g_aig.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.531,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_outside_cla_synth_preset_d13,unsigned low7_high7:a*b,wallace_bits_outside_cla+synth_preset_d13,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_synth_preset_d13.aig,1,1,1,348,26,9048,6289,1.438702,1,0,0.635,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d13
