case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex258,ex258_umul_wallace_bits_cla_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_cla_wreduce_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_cla_synth_preset_d13,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_cla_synth_preset_d18,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_cla_synth_preset_d18.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_rev_cla_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_rev_cla_wreduce_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_rev_cla_synth_preset_d13,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_rev_cla_synth_preset_d18,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_rev_cla_synth_preset_d18.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_outside_cla_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_outside_cla_wreduce_abc_g_aig,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_outside_cla_synth_preset_d13,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_outside_cla_synth_preset_d18,1,348,26,9048,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_outside_cla_synth_preset_d18.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_abc_g_aig,1,351,25,8775,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_wreduce_abc_g_aig,1,351,25,8775,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_synth_preset_d13,1,345,30,10350,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_synth_preset_d18,1,345,30,10350,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_synth_preset_d18.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=synth_preset_d18
ex258,ex258_umul_wallace_bits_prefix_abc_g_aig,1,349,26,9074,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_prefix_wreduce_abc_g_aig,1,349,26,9074,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=wreduce_abc_g_aig
ex258,ex258_umul_wallace_bits_prefix_synth_preset_d13,1,349,26,9074,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d13
ex258,ex258_umul_wallace_bits_prefix_synth_preset_d18,1,349,26,9074,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_prefix_synth_preset_d18.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_cla_abc_g_aig,1,480,28,13440,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_cla_wreduce_abc_g_aig,1,479,30,14370,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_cla_synth_preset_d13,1,479,29,13891,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_synth_preset_d13.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_cla_synth_preset_d18,1,479,29,13891,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_cla_synth_preset_d18.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_rev_cla_abc_g_aig,1,480,28,13440,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_rev_cla_wreduce_abc_g_aig,1,480,29,13920,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_rev_cla_synth_preset_d13,1,479,30,14370,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_synth_preset_d13.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_rev_cla_synth_preset_d18,1,479,30,14370,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_synth_preset_d18.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_outside_cla_abc_g_aig,1,480,28,13440,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_outside_cla_wreduce_abc_g_aig,1,480,29,13920,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_outside_cla_synth_preset_d13,1,480,29,13920,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_synth_preset_d13.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_outside_cla_synth_preset_d18,1,480,29,13920,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_synth_preset_d18.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_abc_g_aig,1,466,34,15844,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_wreduce_abc_g_aig,1,466,34,15844,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_synth_preset_d13,1,468,34,15912,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_synth_preset_d13.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_synth_preset_d18,1,468,34,15912,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_synth_preset_d18.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits; flow=synth_preset_d18
ex259,ex259_umul_wallace_bits_prefix_abc_g_aig,1,483,28,13524,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_prefix_wreduce_abc_g_aig,1,483,28,13524,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=wreduce_abc_g_aig
ex259,ex259_umul_wallace_bits_prefix_synth_preset_d13,1,478,30,14340,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_synth_preset_d13.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_prefix_synth_preset_d18,1,478,30,14340,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_prefix_synth_preset_d18.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_prefix; flow=synth_preset_d18
