case,function_guess,best_candidate_id,best_variant,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,previous_best_adp,ratio_to_previous_best,semantic_status,notes
ex201,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,ex201_bf16_exp2_structural_exp_mant_pair_case,structural_exp_mant_pair_case,1599,15,23985,16300,1.471472,1,0,23985,1.000000,true semantic function identified and exact RTL candidates verified,structural comparison candidate; exact table factoring over 65536 inputs; items=2415
ex202,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,ex202_bf16_exp10_semantic_sign_exp_field_defaults,semantic_sign_exp_field_defaults,3702,16,59232,43344,1.366556,1,0,59232,1.000000,true semantic function identified and exact RTL candidates verified,semantic sign_exp field defaults; groups=512; full_default_groups=479; exceptions=3162
ex203,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,ex203_bf16_log_structural_sign_exp_mant_case,structural_sign_exp_mant_case,4546,18,81828,56948,1.436890,1,0,81828,1.000000,true semantic function identified and exact RTL candidates verified,structural comparison candidate; exact table factoring over 65536 inputs; items=32897
ex204,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,ex204_bf16_log2_structural_exp_mant_delta_pair,structural_exp_mant_delta_pair,1679,18,30222,15180,1.990909,0,0,30222,1.000000,true semantic function identified and exact RTL candidates verified,structural comparison candidate; exact table factoring over 65536 inputs; items=32897
