case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,previous_best_adp,ratio_to_previous_best,notes
ex201,ex201_bf16_exp2_structural_exp_mant_pair_case,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,structural_exp_mant_pair_case,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex201/verilog/ex201_bf16_exp2_structural_exp_mant_pair_case.v,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex201/aigs/ex201_bf16_exp2_structural_exp_mant_pair_case.aig,1,1,1599,15,23985,16300,1.471472,1,0,23985,1.000000,structural comparison candidate; exact table factoring over 65536 inputs; items=2415
ex204,ex204_bf16_log2_structural_exp_mant_delta_pair,bf16_log2,DAZ + log2(x) + BF16 RNE + FTZ + canonical NaN,structural_exp_mant_delta_pair,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex204/verilog/ex204_bf16_log2_structural_exp_mant_delta_pair.v,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex204/aigs/ex204_bf16_log2_structural_exp_mant_delta_pair.aig,1,1,1679,18,30222,15180,1.990909,0,0,30222,1.000000,structural comparison candidate; exact table factoring over 65536 inputs; items=32897
ex202,ex202_bf16_exp10_semantic_sign_exp_field_defaults,bf16_exp10,DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,semantic_sign_exp_field_defaults,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex202/verilog/ex202_bf16_exp10_semantic_sign_exp_field_defaults.v,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex202/aigs/ex202_bf16_exp10_semantic_sign_exp_field_defaults.aig,1,1,3702,16,59232,43344,1.366556,1,0,59232,1.000000,semantic sign_exp field defaults; groups=512; full_default_groups=479; exceptions=3162
ex203,ex203_bf16_log_structural_sign_exp_mant_case,bf16_log,DAZ + ln(x) + BF16 RNE + FTZ + canonical NaN,structural_sign_exp_mant_case,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex203/verilog/ex203_bf16_log_structural_sign_exp_mant_case.v,student/work/ex201_ex204_frontend_bf16_semantic_20260605_0924/ex203/aigs/ex203_bf16_log_structural_sign_exp_mant_case.aig,1,1,4546,18,81828,56948,1.436890,1,0,81828,1.000000,structural comparison candidate; exact table factoring over 65536 inputs; items=32897
