case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_direct_safe_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_safe+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_direct_safe_abc_g_aig.aig,1,1,1,53,17,901,322,2.798137,0,0,0.252,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
ex265,ex265_udiv_restoring_narrow_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,restoring_narrow+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_narrow_wreduce_abc_g_aig.aig,1,1,1,50,15,750,322,2.329193,0,0,0.233,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=wreduce_abc_g_aig
ex265,ex265_udiv_restoring_narrow_synth_preset,unsigned low4_high4:a/b dbz=max,restoring_narrow+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_narrow_synth_preset.aig,1,1,1,53,20,1060,322,3.291925,0,0,0.291,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=synth_preset
ex265,ex265_udiv_restoring_narrow_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,restoring_narrow+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_narrow_abc_g_aig_d18.aig,1,1,1,49,16,784,322,2.434783,0,0,0.229,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=abc_g_aig_d18
ex265,ex265_udiv_restoring_narrow_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,restoring_narrow+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_narrow_abc_g_aig_d24.aig,1,1,1,49,16,784,322,2.434783,0,0,0.245,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=abc_g_aig_d24
ex265,ex265_udiv_restoring_gt_guard_abc_g_aig,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_gt_guard_abc_g_aig.aig,1,1,1,59,22,1298,322,4.031056,0,0,0.247,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig
ex265,ex265_udiv_restoring_gt_guard_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_gt_guard_wreduce_abc_g_aig.aig,1,1,1,61,23,1403,322,4.357143,0,0,0.250,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=wreduce_abc_g_aig
ex265,ex265_udiv_restoring_gt_guard_synth_preset,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_gt_guard_synth_preset.aig,1,1,1,52,17,884,322,2.745342,0,0,0.298,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=synth_preset
ex265,ex265_udiv_restoring_gt_guard_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_gt_guard_abc_g_aig_d18.aig,1,1,1,59,22,1298,322,4.031056,0,0,0.245,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig_d18
ex265,ex265_udiv_restoring_gt_guard_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,restoring_gt_guard+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_gt_guard_abc_g_aig_d24.aig,1,1,1,59,22,1298,322,4.031056,0,0,0.286,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig_d24
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.271,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.275,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_synth_preset,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_direct_synth_preset.aig,1,1,1,50,18,900,322,2.795031,0,0,0.328,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig_d18.aig,1,1,1,52,18,936,322,2.906832,0,0,0.292,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig_d18
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig_d24.aig,1,1,1,52,18,936,322,2.906832,0,0,0.312,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig_d24
ex265,ex265_udiv_small_divisor_fast_restoring_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_restoring+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_restoring.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_restoring_abc_g_aig.aig,1,1,1,52,17,884,322,2.745342,0,0,0.258,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_restoring; flow=abc_g_aig
ex265,ex265_udiv_small_divisor_fast_restoring_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_restoring+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_restoring.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_restoring_wreduce_abc_g_aig.aig,1,1,1,52,17,884,322,2.745342,0,0,0.254,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_restoring; flow=wreduce_abc_g_aig
ex265,ex265_udiv_small_divisor_fast_restoring_synth_preset,unsigned low4_high4:a/b dbz=max,small_divisor_fast_restoring+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_restoring.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_restoring_synth_preset.aig,1,1,1,54,17,918,322,2.850932,0,0,0.311,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_restoring; flow=synth_preset
ex265,ex265_udiv_small_divisor_fast_restoring_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,small_divisor_fast_restoring+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_restoring.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_restoring_abc_g_aig_d18.aig,1,1,1,52,17,884,322,2.745342,0,0,0.253,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_restoring; flow=abc_g_aig_d18
ex265,ex265_udiv_small_divisor_fast_restoring_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,small_divisor_fast_restoring+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_small_divisor_fast_restoring.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_small_divisor_fast_restoring_abc_g_aig_d24.aig,1,1,1,52,17,884,322,2.745342,0,0,0.264,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_restoring; flow=abc_g_aig_d24
ex266,ex266_udiv_direct_safe_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_safe+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_safe_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.287,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
ex266,ex266_udiv_direct_safe_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_safe+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_safe_wreduce_abc_g_aig.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.289,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_safe_synth_preset,unsigned low5_high5:a/b dbz=max,direct_safe+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_safe_synth_preset.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.342,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=synth_preset
ex266,ex266_udiv_direct_safe_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,direct_safe+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_safe_abc_g_aig_d18.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig_d18
ex266,ex266_udiv_direct_safe_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,direct_safe+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_safe_abc_g_aig_d24.aig,1,1,1,91,29,2639,848,3.112028,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig_d24
ex266,ex266_udiv_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_direct_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.297,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.391,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_direct_gt_guard_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig_d18.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.292,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig_d18
ex266,ex266_udiv_direct_gt_guard_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig_d24.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig_d24
ex266,ex266_udiv_restoring_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_narrow+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_narrow_abc_g_aig.aig,1,1,1,87,30,2610,848,3.077830,0,0,0.289,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_narrow; flow=abc_g_aig
ex266,ex266_udiv_restoring_narrow_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_narrow+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_narrow_wreduce_abc_g_aig.aig,1,1,1,85,31,2635,848,3.107311,0,0,0.257,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_narrow; flow=wreduce_abc_g_aig
ex266,ex266_udiv_restoring_narrow_synth_preset,unsigned low5_high5:a/b dbz=max,restoring_narrow+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_narrow_synth_preset.aig,1,1,1,90,32,2880,848,3.396226,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_narrow; flow=synth_preset
ex266,ex266_udiv_restoring_narrow_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,restoring_narrow+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_narrow_abc_g_aig_d18.aig,1,1,1,87,30,2610,848,3.077830,0,0,0.282,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_narrow; flow=abc_g_aig_d18
ex266,ex266_udiv_restoring_narrow_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,restoring_narrow+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_narrow_abc_g_aig_d24.aig,1,1,1,87,30,2610,848,3.077830,0,0,0.254,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_narrow; flow=abc_g_aig_d24
ex266,ex266_udiv_restoring_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_gt_guard_abc_g_aig.aig,1,1,1,106,38,4028,848,4.750000,0,0,0.271,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_restoring_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,restoring_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_restoring_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_restoring_gt_guard_wreduce_abc_g_aig.aig,1,1,1,106,39,4134,848,4.875000,0,0,0.275,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=restoring_gt_guard; flow=wreduce_abc_g_aig
