case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex265,50,15,750,322,2.329193,0,0,ex265_udiv_restoring_narrow_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=wreduce_abc_g_aig
ex266,88,28,2464,848,2.905660,0,0,ex266_udiv_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex267,140,40,5600,2651,2.112410,0,0,ex267_udiv_direct_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex268,195,58,11310,7446,1.518936,0,0,ex268_udiv_small_divisor_fast_direct_synth_preset,unsigned low7_high7:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex269,264,77,20328,11760,1.728571,0,0,ex269_udiv_direct_safe_abc_g_aig,unsigned low8_high8:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
