case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex265,ex265_udiv_restoring_narrow_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,restoring_narrow+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/verilog/ex265_udiv_restoring_narrow.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex265/aigs/ex265_udiv_restoring_narrow_wreduce_abc_g_aig.aig,50,15,750,322,2.329193,0,0,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=restoring_narrow; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig.aig,88,28,2464,848,2.905660,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_direct_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex267/verilog/ex267_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex267/aigs/ex267_udiv_direct_gt_guard_synth_preset.aig,140,40,5600,2651,2.112410,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex268,ex268_udiv_small_divisor_fast_direct_synth_preset,unsigned low7_high7:a/b dbz=max,small_divisor_fast_direct+synth_preset,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex268/verilog/ex268_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex268/aigs/ex268_udiv_small_divisor_fast_direct_synth_preset.aig,195,58,11310,7446,1.518936,0,0,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex269,ex269_udiv_direct_safe_abc_g_aig,unsigned low8_high8:a/b dbz=max,direct_safe+abc_g_aig,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex269/verilog/ex269_udiv_direct_safe.v,student/work/ex265_ex269_frontend_udiv_guard_fast_20260609_0815/ex269/aigs/ex269_udiv_direct_safe_abc_g_aig.aig,264,77,20328,11760,1.728571,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=direct_safe; flow=abc_g_aig
