case,degree,weight,input_width,output_width,layer_rows,feature_count,feature_rank,exact_bit_count,exact_bits,layer_all_bits_exact,notes
ex286,4,0,13,13,1,1093,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,1,13,13,13,1093,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,2,13,13,78,1093,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,3,13,13,286,1093,286,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,4,13,13,715,1093,715,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,5,13,13,1287,1093,715,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,6,13,13,1716,1093,715,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,7,13,13,1716,1093,715,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,8,13,13,1287,1093,715,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,9,13,13,715,1093,715,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,10,13,13,286,1093,286,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,11,13,13,78,1093,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,12,13,13,13,1093,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex286,4,13,13,13,1,1093,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,0,14,14,1,1471,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,1,14,14,14,1471,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,2,14,14,91,1471,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,3,14,14,364,1471,364,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,4,14,14,1001,1471,1001,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,5,14,14,2002,1471,1001,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,6,14,14,3003,1471,1001,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,7,14,14,3432,1471,1001,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,8,14,14,3003,1471,1001,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,9,14,14,2002,1471,1001,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,10,14,14,1001,1471,1001,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,11,14,14,364,1471,364,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,12,14,14,91,1471,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,13,14,14,14,1471,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex287,4,14,14,14,1,1471,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,0,15,15,1,1941,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,1,15,15,15,1941,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,2,15,15,105,1941,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,3,15,15,455,1941,455,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,4,15,15,1365,1941,1365,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,5,15,15,3003,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,6,15,15,5005,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,7,15,15,6435,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,8,15,15,6435,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,9,15,15,5005,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,10,15,15,3003,1941,1365,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,11,15,15,1365,1941,1365,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,12,15,15,455,1941,455,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,13,15,15,105,1941,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,14,15,15,15,1941,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex288,4,15,15,15,1,1941,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,0,16,16,1,2517,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,1,16,16,16,2517,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,2,16,16,120,2517,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,3,16,16,560,2517,560,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,4,16,16,1820,2517,1820,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,5,16,16,4368,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,6,16,16,8008,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,7,16,16,11440,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,8,16,16,12870,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,9,16,16,11440,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,10,16,16,8008,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,11,16,16,4368,2517,1820,0,,0,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,12,16,16,1820,2517,1820,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,13,16,16,560,2517,560,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,14,16,16,120,2517,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,15,16,16,16,2517,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
ex289,4,16,16,16,1,2517,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=4 restricted to popcount layer
