case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex224,ex224_fp16_log2_derived_cluster_hybrid_low2,fp16_log2,derived_cluster_hybrid_low2,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/verilog/ex224_fp16_log2_derived_cluster_hybrid_low2.v,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/aigs/ex224_fp16_log2_derived_cluster_hybrid_low2.aig,1,1,1,5812,27,156924,64708,2.425110,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11",14.595,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11"
ex224,ex224_fp16_log2_derived_cluster_hybrid_low4,fp16_log2,derived_cluster_hybrid_low4,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/verilog/ex224_fp16_log2_derived_cluster_hybrid_low4.v,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/aigs/ex224_fp16_log2_derived_cluster_hybrid_low4.aig,1,1,1,4896,30,146880,64708,2.269889,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1,2,3; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11",14.124,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1,2,3; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11"
ex224,ex224_fp16_log2_derived_cluster_hybrid_low6,fp16_log2,derived_cluster_hybrid_low6,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/verilog/ex224_fp16_log2_derived_cluster_hybrid_low6.v,student/work/ex224_frontend_fp16_log2_derivedlow_20260607_0900/ex224/aigs/ex224_fp16_log2_derived_cluster_hybrid_low6.aig,1,1,1,4514,31,139934,64708,2.162546,0,0,semantic_hybrid,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1,2,3,4,5; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11",14.282,"casez_sign+bit11/12 run-cover plus derived-patch semantic low bits 0,1,2,3,4,5; table_items=31777; bit=12; threshold=8; const_groups=61; range_groups=3; table_groups=0; range_items=9; table_items=0; bit=11; threshold=8; const_groups=59; range_groups=5; table_groups=0; range_items=18; table_items=0; sem=derived corr128/256/512 from corr1024 plus exact BDD patches; patch_nodes=512m:151,256m:104,256p:98,128m:96; near_ranges=12/11"
