round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv,domain,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,log_path,official_status,simulation_pass,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_shared_special_constants_abc_g_aig,1,10743,19,204117,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_shared_special_constants.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/aigs/ex223_r80_shared_special_constants_abc_g_aig.aig,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_shared_special_constants_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,ex223_r80_mant_hi6_xor_residual_abc_g_aig,1,13555,20,271100,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_mant_hi6_xor_residual.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/aigs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.aig,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_shared_special_constants_abc_g_aig,1,11507,19,218633,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_shared_special_constants.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/aigs/ex225_r80_shared_special_constants_abc_g_aig.aig,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_shared_special_constants_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,ex225_r80_mant_hi6_xor_residual_abc_g_aig,1,13275,19,252225,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_mant_hi6_xor_residual.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/aigs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.aig,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,OK,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/evaluation_results.csv,,,,,,,,,,,,,,,,,
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_step_onehot_low_region,1,361,24,8664,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/verilog/ex247_r80_step_onehot_low_region.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/aigs/ex247_r80_step_onehot_low_region.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/logs/ex247_r80_step_onehot_low_region.evaluate.py.log,,source-only; synth_sec=0.356; eval_sec=0.457; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,residual_underflow_predicate_factoring,E5M2FN packed low-over-high division,step equality one-hot low-underflow region,shared denominator-nested boundary attributes with low path selected by exact step predicates,sign/exponent/significand decode; denominator boundary attributes; low-pattern decoder,repo_yosys_frontend_default,ex247|E5M2FN packed low-over-high division|step equality one-hot low-underflow region|shared denominator boundary attrs and explicit step predicates|repo_yosys_frontend_default|official_evaluate|residual_underflow_predicates,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/logs/ex247_r80_step_onehot_low_region.yosys_synth.log,OK,not_run,2975,6804,7291,0,0,0
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,ex247_r80_region_mask_blend,1,363,24,8712,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/verilog/ex247_r80_region_mask_blend.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/aigs/ex247_r80_region_mask_blend.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/logs/ex247_r80_region_mask_blend.evaluate.py.log,,source-only; synth_sec=0.309; eval_sec=0.468; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,region_output_blend,E5M2FN packed low-over-high division,one-hot region magnitude blend instead of casez priority mux,shared boundary attrs with region-hot masks for zero/saturation/low/linear outputs,sign/exponent/significand decode; denominator boundary attributes; region predicates,repo_yosys_frontend_default,ex247|E5M2FN packed low-over-high division|one-hot region magnitude blend|shared boundary attrs and region-hot zero/sat/low/linear masks|repo_yosys_frontend_default|official_evaluate|region_masked_magnitude_output,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/logs/ex247_r80_region_mask_blend.yosys_synth.log,OK,not_run,2975,6804,7291,0,0,0
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_zero_product_bypass,1,355,24,8520,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/verilog/ex246_r80_zero_product_bypass.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/aigs/ex246_r80_zero_product_bypass.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/logs/ex246_r80_zero_product_bypass.evaluate.py.log,,source-only; synth_sec=0.567; eval_sec=0.464; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,product_residual_special_shell,E5M2FN packed multiply high byte times low byte,zero-product bypass before product-class residual table,"shared sign, exponent sum, significand product; explicit zero-product shell",sign xor; effective exponent sum; 3-bit significand product; product-class residual,repo_yosys_frontend_default,ex246|E5M2FN packed multiply|zero-product bypass around product-class table|shared sign exponent product with explicit zero shell|repo_yosys_frontend_default|official_evaluate|product_residual_special_shell,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/logs/ex246_r80_zero_product_bypass.yosys_synth.log,OK,not_run,2805,5984,6888,0,0,0
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,ex246_r80_sorted_sig_product,1,386,27,10422,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/verilog/ex246_r80_sorted_sig_product.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/aigs/ex246_r80_sorted_sig_product.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/logs/ex246_r80_sorted_sig_product.evaluate.py.log,,source-only; synth_sec=0.545; eval_sec=0.459; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,commutative_product_decode,E5M2FN packed multiply high byte times low byte,sorted significand product decode before product-class residual table,reuse commutative significand order to expose shared product classes,sign xor; effective exponent sum; sorted significand pair; product-class residual,repo_yosys_frontend_default,ex246|E5M2FN packed multiply|sorted significand product decode|shared commutative sigpair decode before product-class residual|repo_yosys_frontend_default|official_evaluate|commutative_product_residual,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/logs/ex246_r80_sorted_sig_product.yosys_synth.log,OK,not_run,2805,5984,6888,0,0,0
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_sat_delta_case_tail,1,483,34,16422,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/verilog/ex244_r80_sat_delta_case_tail.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/aigs/ex244_r80_sat_delta_case_tail.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/logs/ex244_r80_sat_delta_case_tail.evaluate.py.log,,source-only; synth_sec=0.349; eval_sec=0.506; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,max_plus_delta_tail_factoring,"E4M3FN packed hypot abs(high),abs(low)",saturating delta case tail replacing generic max-plus adder,"reuse max-eff delta predicate network, factor only the saturation/add tail",abs max/min decode; max_eff/gap/sig delta predicates; saturating delta add case,repo_yosys_frontend_default,ex244|E4M3FN packed hypot abs high low|saturating delta case tail|shared max-eff delta predicates with case factored saturation tail|repo_yosys_frontend_default|official_evaluate|max_plus_delta_tail_factoring,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/logs/ex244_r80_sat_delta_case_tail.yosys_synth.log,OK,not_run,4272,8928,9120,0,0,0
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,ex244_r80_zero_guard_sat_delta_tail,1,483,34,16422,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/verilog/ex244_r80_zero_guard_sat_delta_tail.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/aigs/ex244_r80_zero_guard_sat_delta_tail.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/logs/ex244_r80_zero_guard_sat_delta_tail.evaluate.py.log,,source-only; synth_sec=0.363; eval_sec=0.504; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/evaluation_results.csv,float_fp8,max_plus_delta_tail_factoring,"E4M3FN packed hypot abs(high),abs(low)",zero guarded saturating delta tail,reuse max-eff delta predicates with explicit zero magnitude bypass,abs max/min decode; zero max guard; max_eff/gap/sig delta predicates; saturating delta case,repo_yosys_frontend_default,ex244|E4M3FN packed hypot abs high low|zero guarded saturating delta tail|shared max-eff delta predicates with zero bypass and factored saturation tail|repo_yosys_frontend_default|official_evaluate|max_plus_delta_zero_tail_factoring,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/logs/ex244_r80_zero_guard_sat_delta_tail.yosys_synth.log,OK,not_run,4272,8928,9120,0,0,0
