case,candidate_id,equivalent,area,delay,adp,notes
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_onehot_group,1,25866,23,594918,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k4_case_group,1,25659,24,615816,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_onehot_group,1,25418,23,584614,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k5_case_group,1,25709,24,617016,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_onehot_group,1,25179,21,528759,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f00_k6_case_group,1,25254,22,555588,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_onehot_group,1,25986,25,649650,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k4_case_group,1,25822,25,645550,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_onehot_group,1,25519,22,561418,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k5_case_group,1,25580,23,588340,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k6_onehot_group,1,25332,22,557304,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_bits_7_6_8_5_9_4_10_3_11_2_12_1_13_0_14_f10_k6_case_group,1,25322,22,557084,unknown symmetry cofactor class-onehot Verilog seed
